Cell,Run,Barcode,Species,CellType,s4U,Time,ActD,Phase,IAA,Stage
20220719_K562_1.C01.K562_s4U_50uM_15min,20220719_K562_1,2,Human,K562,50,0.25,,,,
20220719_K562_1.C02.K562_s4U_50uM_15min,20220719_K562_1,3,Human,K562,50,0.25,,,,
20220719_K562_1.C03.K562_s4U_50uM_15min,20220719_K562_1,4,Human,K562,50,0.25,,,,
20220719_K562_1.C04.K562_s4U_50uM_15min,20220719_K562_1,5,Human,K562,50,0.25,,,,
20220719_K562_1.C05.K562_s4U_50uM_15min,20220719_K562_1,7,Human,K562,50,0.25,,,,
20220719_K562_1.C06.K562_s4U_50uM_15min,20220719_K562_1,8,Human,K562,50,0.25,,,,
20220719_K562_1.C07.K562_s4U_50uM_15min,20220719_K562_1,11,Human,K562,50,0.25,,,,
20220719_K562_1.C08.K562_s4U_50uM_15min,20220719_K562_1,12,Human,K562,50,0.25,,,,
20220719_K562_1.C09.K562_s4U_50uM_15min,20220719_K562_1,13,Human,K562,50,0.25,,,,
20220719_K562_1.C10.K562_s4U_50uM_15min,20220719_K562_1,14,Human,K562,50,0.25,,,,
20220719_K562_1.C11.K562_s4U_50uM_15min,20220719_K562_1,18,Human,K562,50,0.25,,,,
20220719_K562_1.C12.K562_s4U_50uM_15min,20220719_K562_1,19,Human,K562,50,0.25,,,,
20220719_K562_1.C13.K562_s4U_50uM_15min,20220719_K562_1,20,Human,K562,50,0.25,,,,
20220719_K562_1.C14.K562_s4U_50uM_15min,20220719_K562_1,21,Human,K562,50,0.25,,,,
20220719_K562_1.C15.K562_s4U_50uM_15min,20220719_K562_1,23,Human,K562,50,0.25,,,,
20220719_K562_1.C16.K562_s4U_50uM_15min,20220719_K562_1,24,Human,K562,50,0.25,,,,
20220719_K562_1.C17.K562_s4U_50uM_15min,20220719_K562_1,25,Human,K562,50,0.25,,,,
20220719_K562_1.C18.K562_s4U_50uM_15min,20220719_K562_1,26,Human,K562,50,0.25,,,,
20220719_K562_1.C19.K562_s4U_50uM_15min,20220719_K562_1,27,Human,K562,50,0.25,,,,
20220719_K562_1.C20.K562_s4U_50uM_15min,20220719_K562_1,28,Human,K562,50,0.25,,,,
20220719_K562_1.C21.K562_s4U_50uM_15min,20220719_K562_1,29,Human,K562,50,0.25,,,,
20220719_K562_1.C22.K562_s4U_50uM_15min,20220719_K562_1,30,Human,K562,50,0.25,,,,
20220719_K562_1.C23.K562_s4U_50uM_15min,20220719_K562_1,31,Human,K562,50,0.25,,,,
20220719_K562_1.C24.K562_s4U_50uM_15min,20220719_K562_1,32,Human,K562,50,0.25,,,,
20220719_K562_1.C25.K562_s4U_50uM_15min,20220719_K562_1,33,Human,K562,50,0.25,,,,
20220719_K562_1.C26.K562_s4U_50uM_15min,20220719_K562_1,34,Human,K562,50,0.25,,,,
20220719_K562_1.C27.K562_s4U_50uM_15min,20220719_K562_1,35,Human,K562,50,0.25,,,,
20220719_K562_1.C28.K562_s4U_50uM_15min,20220719_K562_1,36,Human,K562,50,0.25,,,,
20220719_K562_1.C29.K562_s4U_50uM_15min,20220719_K562_1,37,Human,K562,50,0.25,,,,
20220719_K562_1.C30.K562_s4U_50uM_15min,20220719_K562_1,38,Human,K562,50,0.25,,,,
20220719_K562_1.C31.K562_s4U_50uM_15min,20220719_K562_1,39,Human,K562,50,0.25,,,,
20220719_K562_1.C32.K562_s4U_50uM_15min,20220719_K562_1,40,Human,K562,50,0.25,,,,
20220719_K562_1.C33.K562_s4U_50uM_30min,20220719_K562_1,42,Human,K562,50,0.5,,,,
20220719_K562_1.C34.K562_s4U_50uM_30min,20220719_K562_1,43,Human,K562,50,0.5,,,,
20220719_K562_1.C35.K562_s4U_50uM_30min,20220719_K562_1,44,Human,K562,50,0.5,,,,
20220719_K562_1.C36.K562_s4U_50uM_30min,20220719_K562_1,45,Human,K562,50,0.5,,,,
20220719_K562_1.C37.K562_s4U_50uM_30min,20220719_K562_1,46,Human,K562,50,0.5,,,,
20220719_K562_1.C38.K562_s4U_50uM_30min,20220719_K562_1,47,Human,K562,50,0.5,,,,
20220719_K562_1.C39.K562_s4U_50uM_30min,20220719_K562_1,48,Human,K562,50,0.5,,,,
20220719_K562_1.C40.K562_s4U_50uM_30min,20220719_K562_1,49,Human,K562,50,0.5,,,,
20220719_K562_1.C41.K562_s4U_50uM_30min,20220719_K562_1,50,Human,K562,50,0.5,,,,
20220719_K562_1.C42.K562_s4U_50uM_30min,20220719_K562_1,51,Human,K562,50,0.5,,,,
20220719_K562_1.C43.K562_s4U_50uM_30min,20220719_K562_1,52,Human,K562,50,0.5,,,,
20220719_K562_1.C44.K562_s4U_50uM_30min,20220719_K562_1,53,Human,K562,50,0.5,,,,
20220719_K562_1.C45.K562_s4U_50uM_30min,20220719_K562_1,54,Human,K562,50,0.5,,,,
20220719_K562_1.C46.K562_s4U_50uM_30min,20220719_K562_1,55,Human,K562,50,0.5,,,,
20220719_K562_1.C47.K562_s4U_50uM_30min,20220719_K562_1,56,Human,K562,50,0.5,,,,
20220719_K562_1.C48.K562_s4U_50uM_30min,20220719_K562_1,57,Human,K562,50,0.5,,,,
20220719_K562_1.C49.K562_s4U_50uM_30min,20220719_K562_1,58,Human,K562,50,0.5,,,,
20220719_K562_1.C50.K562_s4U_50uM_30min,20220719_K562_1,59,Human,K562,50,0.5,,,,
20220719_K562_1.C51.K562_s4U_50uM_30min,20220719_K562_1,60,Human,K562,50,0.5,,,,
20220719_K562_1.C52.K562_s4U_50uM_30min,20220719_K562_1,61,Human,K562,50,0.5,,,,
20220719_K562_1.C53.K562_s4U_50uM_30min,20220719_K562_1,62,Human,K562,50,0.5,,,,
20220719_K562_1.C54.K562_s4U_50uM_30min,20220719_K562_1,63,Human,K562,50,0.5,,,,
20220719_K562_1.C55.K562_s4U_50uM_30min,20220719_K562_1,64,Human,K562,50,0.5,,,,
